@file,1,DJM-S7,,,,,,,,,,,,
#name,function,type,input,deck1,deck2,deck3,deck4,output,deck1,deck2,deck3,deck4,option,comment
PAD4_PadMode3+Shift,PAD4_PadMode3+Shift,Pad,,972B,982B,,,,972B,982B,,,Fast,
PAD4_PadMode4,PAD4_PadMode4,Pad,,9733,9833,,,,9733,9833,,,Fast,
PAD4_PadMode4+Shift,PAD4_PadMode4+Shift,Pad,,973B,983B,,,,973B,983B,,,Fast,
PAD4_PadMode5,PAD4_PadMode5,Pad,,9743,9843,,,,9743,9843,,,Fast,
PAD4_PadMode5+Shift,PAD4_PadMode5+Shift,Pad,,974B,984B,,,,974B,984B,,,Fast,
PAD4_PadMode6,PAD4_PadMode6,Pad,,9753,9853,,,,9753,9853,,,Fast,
PAD4_PadMode6+Shift,PAD4_PadMode6+Shift,Pad,,975B,985B,,,,975B,985B,,,Fast,
PAD4_PadMode7,PAD4_PadMode7,Pad,,9763,9863,,,,9763,9863,,,Fast,
PAD4_PadMode7+Shift,PAD4_PadMode7+Shift,Pad,,976B,986B,,,,976B,986B,,,Fast,
PAD4_PadMode8,PAD4_PadMode8,Pad,,9773,9873,,,,9773,9873,,,Fast,
PAD4_PadMode8+Shift,PAD4_PadMode8+Shift,Pad,,977B,987B,,,,977B,987B,,,Fast,
,,,,,,,,,,,,,,
PAD5_PadMode1,PAD5_PadMode1,Pad,,9704,9804,,,,9704,9804,,,Fast,
PAD5_PadMode1+Shift,PAD5_PadMode1+Shift,Pad,,970C,980C,,,,970C,980C,,,Fast,
PAD5_PadMode2,PAD5_PadMode2,Pad,,9714,9814,,,,9714,9814,,,Fast,
PAD5_PadMode2+Shift,PAD5_PadMode2+Shift,Pad,,971C,981C,,,,971C,981C,,,Fast,
PAD5_PadMode3,PAD5_PadMode3,Pad,,9724,9824,,,,9724,9824,,,Fast,
PAD5_PadMode3+Shift,PAD5_PadMode3+Shift,Pad,,972C,982C,,,,972C,982C,,,Fast,
PAD5_PadMode4,PAD5_PadMode4,Pad,,9734,9834,,,,9734,9834,,,Fast,
PAD5_PadMode4+Shift,PAD5_PadMode4+Shift,Pad,,973C,983C,,,,973C,983C,,,Fast,
PAD5_PadMode5,PAD5_PadMode5,Pad,,9744,9844,,,,9744,9844,,,Fast,
PAD5_PadMode5+Shift,PAD5_PadMode5+Shift,Pad,,974C,984C,,,,974C,984C,,,Fast,
PAD5_PadMode6,PAD5_PadMode6,Pad,,9754,9854,,,,9754,9854,,,Fast,
PAD5_PadMode6+Shift,PAD5_PadMode6+Shift,Pad,,975C,985C,,,,975C,985C,,,Fast,
PAD5_PadMode7,PAD5_PadMode7,Pad,,9764,9864,,,,9764,9864,,,Fast,
PAD5_PadMode7+Shift,PAD5_PadMode7+Shift,Pad,,976C,986C,,,,976C,986C,,,Fast,
PAD5_PadMode8,PAD5_PadMode8,Pad,,9774,9874,,,,9774,9874,,,Fast,
PAD5_PadMode8+Shift,PAD5_PadMode8+Shift,Pad,,977C,987C,,,,977C,987C,,,Fast,
,,,,,,,,,,,,,,
PAD6_PadMode1,PAD6_PadMode1,Pad,,9705,9805,,,,9705,9805,,,Fast,
PAD6_PadMode1+Shift,PAD6_PadMode1+Shift,Pad,,970D,980D,,,,970D,980D,,,Fast,
PAD6_PadMode2,PAD6_PadMode2,Pad,,9715,9815,,,,9715,9815,,,Fast,
PAD6_PadMode2+Shift,PAD6_PadMode2+Shift,Pad,,971D,981D,,,,971D,981D,,,Fast,
PAD6_PadMode3,PAD6_PadMode3,Pad,,9725,9825,,,,9725,9825,,,Fast,
PAD6_PadMode3+Shift,PAD6_PadMode3+Shift,Pad,,972D,982D,,,,972D,982D,,,Fast,
PAD6_PadMode4,PAD6_PadMode4,Pad,,9735,9835,,,,9735,9835,,,Fast,
PAD6_PadMode4+Shift,PAD6_PadMode4+Shift,Pad,,973D,983D,,,,973D,983D,,,Fast,
PAD6_PadMode5,PAD6_PadMode5,Pad,,9745,9845,,,,9745,9845,,,Fast,
PAD6_PadMode5+Shift,PAD6_PadMode5+Shift,Pad,,974D,984D,,,,974D,984D,,,Fast,
PAD6_PadMode6,PAD6_PadMode6,Pad,,9755,9855,,,,9755,9855,,,Fast,
PAD6_PadMode6+Shift,PAD6_PadMode6+Shift,Pad,,975D,985D,,,,975D,985D,,,Fast,
PAD6_PadMode7,PAD6_PadMode7,Pad,,9765,9865,,,,9765,9865,,,Fast,
PAD6_PadMode7+Shift,PAD6_PadMode7+Shift,Pad,,976D,986D,,,,976D,986D,,,Fast,
PAD6_PadMode8,PAD6_PadMode8,Pad,,9775,9875,,,,9775,9875,,,Fast,
PAD6_PadMode8+Shift,PAD6_PadMode8+Shift,Pad,,977D,987D,,,,977D,987D,,,Fast,
,,,,,,,,,,,,,,
PAD7_PadMode1,PAD7_PadMode1,Pad,,9706,9806,,,,9706,9806,,,Fast,
PAD7_PadMode1+Shift,PAD7_PadMode1+Shift,Pad,,970E,980E,,,,970E,980E,,,Fast,
PAD7_PadMode2,PAD7_PadMode2,Pad,,9716,9816,,,,9716,9816,,,Fast,
PAD7_PadMode2+Shift,PAD7_PadMode2+Shift,Pad,,971E,981E,,,,971E,981E,,,Fast,
PAD7_PadMode3,PAD7_PadMode3,Pad,,9726,9826,,,,9726,9826,,,Fast,
PAD7_PadMode3+Shift,PAD7_PadMode3+Shift,Pad,,972E,982E,,,,972E,982E,,,Fast,
PAD7_PadMode4,PAD7_PadMode4,Pad,,9736,9836,,,,9736,9836,,,Fast,
PAD7_PadMode4+Shift,PAD7_PadMode4+Shift,Pad,,973E,983E,,,,973E,983E,,,Fast,
PAD7_PadMode5,PAD7_PadMode5,Pad,,9746,9846,,,,9746,9846,,,Fast,
PAD7_PadMode5+Shift,PAD7_PadMode5+Shift,Pad,,974E,984E,,,,974E,984E,,,Fast,
PAD7_PadMode6,PAD7_PadMode6,Pad,,9756,9856,,,,9756,9856,,,Fast,
PAD7_PadMode6+Shift,PAD7_PadMode6+Shift,Pad,,975E,985E,,,,975E,985E,,,Fast,
PAD7_PadMode7,PAD7_PadMode7,Pad,,9766,9866,,,,9766,9866,,,Fast,
PAD7_PadMode7+Shift,PAD7_PadMode7+Shift,Pad,,976E,986E,,,,976E,986E,,,Fast,
